2026-02-02 15:51:17,762 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:51:20,203 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:51:22,643 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:51:24,662 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:51:26,307 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-02 15:51:26,310 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 2.000000 seconds
2026-02-02 15:51:28,805 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:56:38,664 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:56:40,800 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:56:43,721 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:56:46,780 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-02 15:56:53,416 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 05:47:58,407 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:31:15,093 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:37:57,152 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:37:59,078 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 400 Bad Request"
2026-02-19 06:50:12,733 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:50:14,621 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:50:14,903 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:08,793 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:10,802 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:12,623 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:13,535 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:17,368 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:19,041 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:19,521 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:19,596 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 06:51:19,599 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 2.000000 seconds
2026-02-19 06:51:22,835 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:23,515 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:23,611 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 06:51:23,612 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 23.000000 seconds
2026-02-19 06:51:47,885 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:49,976 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:51:50,068 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 06:51:50,070 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 12.000000 seconds
2026-02-19 06:52:03,139 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:52:03,629 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:52:03,706 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 06:52:03,707 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 30.000000 seconds
2026-02-19 06:56:36,678 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:38,574 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:39,146 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:40,083 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:40,838 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:43,009 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:43,820 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 06:56:43,920 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 06:56:43,922 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 6.000000 seconds
2026-02-19 06:58:44,938 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:00:25,410 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:00:29,016 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:00:31,971 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:00:48,107 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:03,347 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:07,104 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:09,689 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:11,454 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:13,566 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:14,521 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:14,966 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:16,222 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:10:18,778 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:13:05,640 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:52,227 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:53,890 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:54,210 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:55,074 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:55,886 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-19 07:16:56,040 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-02-19 07:16:56,042 | INFO | groq._base_client |Retrying request to /openai/v1/chat/completions in 1.000000 seconds
2026-02-19 07:16:59,102 | INFO | httpx |HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
